"복합 위험 자산 (2026-07-29)"

"복합 위험 자산은 16건입니다 — 정합성·EOL·보증·정기 점검·단일 장애점·교체·미실측 중 2개 이상이 겹칩니다. 신호 3개 이상 6건이 최우선 조치 대상이며, 중첩 자산은 단일 조치(예: 교체)로 여러 위험을 동시에 해소할 수 있어 우선순위가 높습니다."

"■ 복합 위험 자산 (주의 신호 2개 이상 중첩)"
"운영 자산 36건 중 복합 위험 16건 (신호 3개 이상 6건) — 신호 수 내림차순"
"자산번호","유형","모델","소유자 · 부서","신호 수","중첩 신호"
"AST-2020-000883","서버","HPE DL380 Gen10","인프라운영팀 · 인프라운영팀","4","EOL OS, 보증 임박, 교체 대상, 장기 미실측"
"AST-2022-000512","단말","Dell Latitude 7430","'- · 영업1팀","3","정합성 미흡, 보증 임박, 교체 대상"
"AST-2023-000221","서버","PowerEdge R660","인프라운영팀 · 인프라운영팀","3","정합성 미흡, 보증 임박, 교체 대상"
"AST-2022-000871","단말","MacBook Pro 14 M2","정하윤 · 디자인팀","3","보증 임박, 교체 대상, 장기 미실측"
"AST-2021-000432","단말","LG gram 17","'- · 자산관리팀","3","EOL OS, 보증 임박, 교체 대상"
"AST-2022-000641","네트워크","FortiGate 200F","네트워크팀 · 보안운영팀","3","보증 임박, 정기 점검 도래, 단일 장애점"
"AST-2023-000112","단말","ThinkPad T14 Gen4","김민준 · 플랫폼개발팀","2","보증 임박, 교체 대상"
"AST-2023-000113","단말","ThinkPad T14 Gen4","이서연 · 플랫폼개발팀","2","보증 임박, 교체 대상"
"AST-2021-000556","단말","ThinkPad L14 Gen2","한지원 · 고객지원팀","2","보증 임박, 교체 대상"
"AST-2021-000997","단말","ThinkPad T14 (감가 회귀)","박선우 · 영업2팀","2","보증 임박, 교체 대상"
"AST-2023-000704","주변기기","Dell UltraSharp U2723QE 27""","'- · 자산관리팀","2","보증 임박, 교체 대상"
"AST-2023-000561","서버","PowerEdge R760","인프라운영팀 · 인프라운영팀","2","보증 임박, 교체 대상"
"AST-2023-000562","서버","PowerEdge R760","인프라운영팀 · 인프라운영팀","2","보증 임박, 교체 대상"
"AST-2022-000640","네트워크","Catalyst 9300-48P","네트워크팀 · 네트워크팀","2","정기 점검 도래, 단일 장애점"
"AST-2023-000707","단말","Galaxy Book4 Pro","오세훈 · 인사팀","2","보증 임박, 교체 대상"
"AST-2023-000450","주변기기","Epson EB-2250U 프로젝터 (대여용)","한지민 · 총무팀","2","보증 임박, 교체 대상"

"■ 신호별 출현 빈도 (선제 개선 포인트)"
"복합 위험 자산에서 자주 겹치는 신호 — 근본 원인을 먼저 줄이면 복합 위험이 함께 낮아진다"
"위험 신호","해당 자산"
"정합성 미흡","2"
"EOL OS","2"
"보증 임박","15"
"정기 점검 도래","2"
"단일 장애점","2"
"교체 대상","14"
"장기 미실측","2"

"■ 부서별 분포"
"부서","복합 위험 자산"
"인프라운영팀","4"
"자산관리팀","2"
"플랫폼개발팀","2"
"영업1팀","1"
"디자인팀","1"
"보안운영팀","1"
"고객지원팀","1"
"영업2팀","1"
"네트워크팀","1"
"인사팀","1"
"총무팀","1"

"■ 종합 · 조치 권고"
"'- 복합 위험 총 16건 — 신호 3개 이상 6건을 최우선 조치 대상으로 봅니다."
"'- 신호가 중첩된 자산은 단일 조치로 여러 위험을 동시에 해소할 수 있어(예: 교체 시 EOL·보증·정기 점검 동시 해소) 우선순위가 높습니다."
"'- 대장 복합 위험 필터(?risk=1)·대시보드 복합 위험 큐에서 자산별 조치 화면(교체 검토·재물조사 편성·정합성 보정)으로 연결됩니다."
