"취약점 조치 우선순위 (2026-07-29)"

"미조치 취약점 11건에 대해 자산 중요도 × 노출도로 조치 우선순위를 산출했습니다. 즉시 조치가 필요한 P1 은 7건, 우선 조치 P2 는 0건입니다. 외부 노출 CVE·EOL OS·미인가 SW·크리덴셜 노출을 통합해, 인터넷 노출·서버/네트워크·IDC·핵심 지정 자산일수록 상위에 배치했습니다. P1 부터 순차 조치를 권고합니다."

"■ 조치 우선순위 요약"
"미조치 취약점 11건 — P1 즉시 7 · P2 우선 0 · P3 계획 4"
"우선순위 등급","건수","판정 기준"
"P1 (즉시 조치)","7","높은 심각도 × 높은 자산 중요도 (점수 67 이상)"
"P2 (우선 조치)","0","중간 위험 결합 (점수 34~66)"
"P3 (계획 조치)","4","낮은 위험 결합 (점수 33 이하)"

"■ 출처별 취약점 분포"
"출처","건수"
"외부 노출 CVE","1"
"EOL OS","2"
"미인가 SW","4"
"크리덴셜 노출","4"

"■ 우선순위 상세 (점수순)"
"자산 중요도 × 노출도 스코어링 · 미조치 취약점만"
"등급","점수","출처","대상","상세","노출도","자산 중요도"
"P1","100","EOL OS","AST-2020-000883","CentOS 7 (EOL 2024-06-30 경과) · HPE DL380 Gen10","높음","높음"
"P1","100","외부 노출 CVE","legacy-vpn.seekerslab.co.kr","CVE-2018-13379 (CVSS 9.8) · HTTPS 443 (Fortinet SSL-VPN 6.0.4)","높음","높음"
"P1","100","크리덴셜 노출","db-backup.seekerslab.co.kr","PostgreSQL · 기본 크리덴셜","높음","높음"
"P1","100","크리덴셜 노출","cache-ext.seekerslab.co.kr","Redis · 인증 없음","높음","높음"
"P1","67","미인가 SW","AST-2023-000113","AnyDesk · 무단 원격제어","높음","중간"
"P1","67","크리덴셜 노출","stg.seekerslab.co.kr","HTTP Basic · 약한 암호","중간","높음"
"P1","67","크리덴셜 노출","dev-api.seekerslab.co.kr","SSH · 기본 크리덴셜","중간","높음"
"P3","33","EOL OS","AST-2021-000432","Windows 10 (EOL 2025-10-14 경과) · LG gram 17","높음","낮음"
"P3","33","미인가 SW","AST-2025-000512","uTorrent · 금지 SW","높음","낮음"
"P3","33","미인가 SW","AST-2022-000871","Adobe Photoshop 2021 (크랙) · 금지 SW","높음","낮음"
"P3","22","미인가 SW","AST-2025-000512","Notion Desktop · 미승인 SW","중간","낮음"
