# AIG Log Source 인벤토리 — 기준일 2026-08-23 15:40 (실측)
# 출처: 02.분석/AIG_로그수집정보_20260806.xlsx "SIEM 로그 연동 대상" + 방화벽 로그 기반 식별
#
# status 구분
#   collected      SIEM 등록 완료, 로그 수신 중
#   no-data        SIEM 등록 완료, 수신 0건 (발신측 미설정)
#   blocked        장비는 전송 중이나 방화벽 정책에서 차단
#   pending-ip     관리 IP 미확보로 등록 보류
#   discovered     문서 미기재. 방화벽 로그에서 확인, 수집 대상 여부 확인 필요
#   out-of-scope   문서상 수집 대상 아님
#
# events_today / events_30m 은 2026-08-23 색인 기준 실측치 (미수집은 0)
system_type,system_name,protocol,log_source_name,ip_address,port,vendor,device_type,parser,status,events_today,events_30m,note
Network Security,Firewall,Syslog,AIG_SSLVPN_FW,10.1.1.1,514,Fortinet,FortiGate 81F,FortiGate KV (traffic/generic),collected,16268,8037,약 268 EPM. srcIp/dstIp/action 정규화 확인
Endpoint Security,Linux Server,Syslog,AIG_SIEM_Host_Linux,10.1.30.4,514,기타,기타 장비,Linux Syslog RFC3164 + wire,collected,9058,1825,문서상 대상아님이나 수집 검증용으로 유지 중
Endpoint Security,Linux Server,Syslog,AIG_WAS01_Linux,10.1.30.2,514,Linux,Syslog,Linux Syslog RFC3164 + wire,no-data,0,0,장비 정상 가동. rsyslog/Filebeat 미설정
Endpoint Security,Linux Server,Syslog,AIG_WAS02_Linux,10.1.30.3,514,Linux,Syslog,Linux Syslog RFC3164 + wire,no-data,0,0,장비 정상 가동. rsyslog/Filebeat 미설정
Data & Application,Web Server,Syslog,AIG_WEB01_Nginx,211.47.20.228,514,Nginx,Web Server,Linux Syslog RFC3164 + wire,no-data,0,0,장비 정상 가동. rsyslog/Filebeat 미설정
Data & Application,Web Server,Syslog,AIG_WEB02_Nginx,211.47.20.229,514,Nginx,Web Server,Linux Syslog RFC3164 + wire,no-data,0,0,장비 정상 가동. rsyslog/Filebeat 미설정
Data & Application,Application,Syslog,AIG_GW01_Linux,211.47.20.230,514,Linux,Syslog,Linux Syslog RFC3164 + wire,no-data,0,0,장비 정상 가동. rsyslog/Filebeat 미설정
Data & Application,Unknown,Syslog,(미정),211.47.6.115,514,미확인,미확인,,blocked,0,0,SIEM 으로 Syslog 전송 중이나 FortiGate policy 35 에서 차단(621건). 차단 해제 후 형식 확인하여 등록 예정
Network Security,WAF,Syslog,AIG_WAF,,514,모니터랩,,,pending-ip,0,0,관리 IP 미확보
Network Security,IDS/IPS,Syslog,AIG_IPS_VPN,,514,Fortinet,FortiGate,,pending-ip,0,0,관리 IP 미확보
Network Security,Firewall,Syslog,AIG_FW,,514,Fortinet,FortiGate,,pending-ip,0,0,관리 IP 미확보
Network Security,L4 Switch,Syslog,AIG_DMZ_L4,,514,Piolink,,,pending-ip,0,0,관리 IP 미확보
Network Security,L4 Switch,Syslog,AIG_INT_L4,,514,Piolink,,,pending-ip,0,0,관리 IP 미확보
Network Security,L3 Switch,Syslog,AIG_L3_Switch,,514,HP,,,pending-ip,0,0,관리 IP 미확보
Data & Application,Unknown,-,(미정),211.47.6.116,,미확인,미확인,,discovered,0,0,외부 DNS(8.8.8.8) 직접 질의 160건. 용도 확인 필요
Data & Application,Unknown,-,(미정),211.47.6.118,,미확인,미확인,,discovered,0,0,10.1.10.4:10010 연동 502건. 용도 확인 필요
Data & Application,Unknown,-,(미정),10.1.10.4,,미확인,미확인,,discovered,0,0,외부 SSH 및 211.47.6.116:3306 접근. 용도 확인 필요
Data & Application,Unknown,-,(미정),211.47.6.119,,미확인,미확인,,discovered,0,0,NTP 소량. 용도 확인 필요
Data & Application,Unknown,-,(미정),211.47.6.125,,미확인,미확인,,discovered,0,0,NTP 소량. 용도 확인 필요
Data & Application,Server,-,(대상아님),10.1.20.2,,-,-,,out-of-scope,0,0,문서상 대상아님
Data & Application,Server,-,(대상아님),10.1.20.3,,-,-,,out-of-scope,0,0,문서상 대상아님
Data & Application,Server,-,(대상아님),10.1.20.5,,-,-,,out-of-scope,0,0,문서상 대상아님
Data & Application,Server,-,(대상아님),10.1.20.10,,-,-,,out-of-scope,0,0,문서상 대상아님
Data & Application,Server,-,(대상아님),10.1.40.2,,-,-,,out-of-scope,0,0,문서상 대상아님
Data & Application,Server,-,(대상아님),10.1.40.3,,-,-,,out-of-scope,0,0,문서상 대상아님
Data & Application,Server,-,(대상아님),10.1.40.4,,-,-,,out-of-scope,0,0,문서상 대상아님
